simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	Area50	Area70	Area90	Dis50	Dis70	Dis90	Vol50	Vol70	Vol90
2709	1.5717229	-0.20057285	2.6102548	2867.706	17.704802	13.573137	0.17727272	0.16727203	533.81754188	959.70524367	1934.83570661	494.60167396	772.90944022	1261.5614759	94913287.03922583	2.11564545e+08	5.33153371e+08
270	2.5758483	-0.77815235	1.1042519	7159.84	53.812828	52.74232	0.3682657	0.44524413	7456.55552239	12054.60544651	19709.31627428	1048.28152636	1602.53599077	2507.92042699	5.8158328e+09	1.01297238e+10	1.81424614e+10
2710	2.0724025	-0.88060874	1.271928	5673.5693	107.41349	79.85986	-0.068437986	0.28766116	314.66757122	631.95448777	1271.13218916	607.27742555	928.63292715	1451.01072288	1.08471952e+08	2.17352354e+08	4.72479842e+08
2711	3.8130534	-0.0032751053	2.6666007	5658.881	75.98055	70.28283	-0.42405066	0.44510838	678.25810286	1275.713618	2582.91175767	766.37073998	1170.06809768	1825.83777103	3.9867085e+08	7.45885458e+08	1.49404352e+09
2712	2.1757636	-0.6059448	2.7612863	1103.0516	19.704159	11.320927	-0.25406504	-0.52304775	1302.72945439	2382.81616736	4758.67157009	933.66874481	1424.49403602	2216.13274836	9.64101435e+08	1.77678351e+09	3.58795333e+09
2713	0.91587275	1.19001	1.3031172	828.996	17.203506	7.27927	-0.3791961	0.031853948	357.4315294	682.47866949	1370.28843072	1202.58040641	1843.87145373	2908.35486385	5.26747254e+08	1.09800589e+09	2.53687177e+09
2714	1.0020489	0.8367659	1.1723375	1090.323	8.966429	8.217837	0.07603564	-0.056408826	590.74950368	2800.93302316	11398.65649579	793.03626831	1264.97430213	2057.26058105	1.56626195e+08	1.37353721e+09	7.62197693e+09
2715	2.985133	-1.0916438	2.8721483	4220.3784	52.49557	36.4043	0.29596093	-0.031412918	625.93115048	1077.04407805	2034.63141478	748.789327	1126.26190665	1719.1878424	2.16261608e+08	4.2883577e+08	9.73225601e+08
2716	1.9748267	-0.60213923	1.4807998	1350.0806	19.577103	19.531773	0.46212143	0.34828737	509.60873451	987.96391428	1998.23007724	1136.41577633	1727.09999501	2684.09176676	6.17355715e+08	1.3038535e+09	2.91646043e+09
2717	1.8582016	0.8294361	0.5224893	969.51855	28.174688	19.256266	-0.4223243	-0.023165615	36.19395104	70.30680734	188.3873416	210.69962086	332.32938822	561.48646586	858185.90983636	1826491.60402168	5330486.25848681
2718	1.0532328	-0.6481136	0.57128376	1715.3904	16.830502	15.637976	-0.813602	0.1967408	154.76943859	356.97309398	937.69676301	543.00382447	826.07444538	1289.90828055	27309528.54769554	77540990.99206081	2.63066002e+08
2719	3.54889	0.6483058	2.895402	5305.9385	42.195084	37.58874	-0.01677156	0.11874395	624.18222428	1202.63233219	2597.7191885	1332.07923468	2033.05022206	3181.41871608	9.43705787e+08	1.91448071e+09	4.64192509e+09
271	5.021654	0.5482974	0.40002275	1767.847	21.134733	17.143064	-0.3091209	0.0014274106	883.29478531	1582.34185036	3207.27618709	912.08398276	1384.29404824	2145.3198118	5.51048571e+08	1.0409853e+09	2.51811991e+09
2720	4.2254467	0.11751889	0.523079	517.43634	10.468076	9.821711	0.7396612	0.095641345	272.18844071	500.36297964	1012.1564824	742.38711053	1139.11087794	1800.45259104	1.67408813e+08	3.31833887e+08	7.54407592e+08
2722	4.32188	1.0221242	2.2200234	6240.147	73.59723	70.15311	-0.055806853	0.13126823	435.70337313	793.15473274	1594.61407481	771.16661325	1179.70894918	1849.34135476	2.61930973e+08	4.8742658e+08	9.99192576e+08
2723	0.94745487	0.5513203	2.22911	1140.162	27.485489	23.34652	0.029461158	0.34077874	441.98001141	782.25300444	1517.03985316	922.19432591	1408.02824411	2207.48999526	3.78111737e+08	7.12223951e+08	1.49686693e+09
2724	1.3685985	0.43192947	0.70297766	12313.008	91.853035	86.8165	0.42420548	0.041468587	680.783875	1311.52567985	3407.94283803	869.12294325	1328.29736494	2072.46284127	1.84017187e+08	4.51348917e+08	1.4842163e+09
2725	1.5404247	1.009993	2.622166	4395.144	70.48308	64.992775	-0.07689075	0.10753236	1557.63365167	3333.48969916	7417.39029945	698.41962288	1098.25642518	1850.7363444	5.42338886e+08	1.35504306e+09	3.88072898e+09
2727	2.4041944	0.56658775	0.4223012	5750.015	73.97785	72.44327	0.62667257	-0.04311067	9513.58391039	15762.20081167	26596.30194916	637.86769133	966.77993084	1493.17443964	2.49670298e+09	3.8546326e+09	6.20104845e+09
2728	5.335763	1.3275336	2.4607208	1111.4172	27.32161	8.947126	0.39727396	-0.013160578	549.05306779	988.71729931	1919.96823702	1270.62623831	1937.82051078	3007.78181411	7.30159164e+08	1.33728724e+09	2.71093144e+09
2729	5.693612	-0.8813361	1.6083905	362.3233	5.764392	4.602862	-0.34546632	-0.14131215	1029.2572776	4335.3102878	12853.03127307	709.48242237	1122.76320502	1794.13028183	2.05821108e+08	1.46435476e+09	6.09128693e+09
272	3.8688567	-0.76938176	0.90036964	3237.7424	78.82577	45.448494	-0.12652811	0.29611757	5723.08797461	9278.51511776	15441.47815263	743.94662659	1137.04505765	1781.6091698	2.40832488e+09	4.15929211e+09	7.73490793e+09
2730	1.3450398	0.5197259	1.9919417	2635.0403	28.602913	28.400375	0.24829924	0.20542802	622.81797164	1117.64067412	2280.68633522	704.08672131	1086.80961651	1739.60477713	2.99171326e+08	5.88081491e+08	1.39942567e+09
2731	5.059171	-0.89193374	2.4501126	2880.9788	49.915627	17.154205	0.15700726	-0.2740178	565.08236224	1010.68834667	1977.66931072	1175.52385734	1803.8046016	2842.9611256	8.01916284e+08	1.52625579e+09	3.23871691e+09
2732	5.4840884	-1.148237	0.899036	1115.2057	30.07389	15.613263	0.014935427	0.10091254	130.75082845	296.31884151	683.94110286	512.76427983	790.63484439	1264.03364747	41319770.96451524	1.02439481e+08	2.62924975e+08
2733	4.050861	0.721791	1.9267422	1233.5885	29.162758	9.147185	-0.35858735	-0.13824637	9054.06472258	15091.48221052	25892.09297731	393.26489906	596.97651735	923.66771508	6.96277888e+08	1.08733337e+09	1.80078483e+09
2734	3.5251682	0.38607025	0.47071707	3388.7742	19.024723	16.572882	0.4872592	-0.056972038	3620.43405526	7364.21252561	13634.95211816	533.43151381	810.34000653	1258.37083528	7.36719888e+08	1.59520462e+09	3.35133263e+09
2735	2.1683705	0.74790967	0.14365683	1946.3398	13.954124	7.9569798	-0.08541595	0.5514551	581.13522084	1100.16186169	2316.11168573	1132.64590772	1732.7961468	2720.29972242	6.84854727e+08	1.32553984e+09	2.80249244e+09
2736	3.88541	0.5958045	0.39055312	3448.874	71.910805	53.113155	-0.14893514	0.50221354	365.03940633	669.16757151	1391.95930726	923.58180316	1409.48850497	2207.572871	3.06090184e+08	6.13766195e+08	1.42417129e+09
2737	2.6016037	0.9814136	0.96559304	4400.4995	33.258526	28.237894	0.04234853	0.78548914	213.51059082	412.81597173	844.89572434	345.0967559	529.65978321	838.50856684	24778003.96320502	50799244.76753061	1.17294884e+08
2738	4.172017	0.86285496	0.9874672	3759.893	67.79099	45.814392	-0.042295236	0.022550328	268.5628885	527.70032687	2375.00128809	790.73666989	1214.54249797	1926.72641874	1.50130938e+08	3.39416241e+08	1.69849424e+09
2739	3.7330186	-0.18994237	1.76233	1132.7875	38.20011	20.254204	0.275054	0.00041259732	40.19298404	89.16874793	374.64002735	474.01147323	778.12143727	1575.52821591	5850119.90561248	16123033.15945376	1.32630294e+08
273	3.890149	0.22804815	0.46601218	1946.454	26.057955	19.018042	-0.31762215	-0.0942748	528.70392558	931.00906504	1829.6804544	773.29092227	1183.64487877	1859.00606488	2.61299138e+08	5.24573771e+08	1.23273454e+09
