simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	Area50	Area70	Area90	Dis50	Dis70	Dis90	Vol50	Vol70	Vol90
0	1.7540468	-0.0683857	1.7459538	12463.52	139.44507	124.55757	0.3728234	-0.0040568872	2230.67776561	4008.14424303	7640.19178362	1339.65485748	2045.10031874	3200.52705503	3.33065074e+09	6.13227291e+09	1.22464124e+10
1000	4.5487924	1.0234705	2.322984	8870.57	127.96608	56.2387	0.12304889	-0.6948326	2685.78292642	5056.96062429	10924.9586816	1825.90709954	2790.40432095	4327.19054466	7.32143145e+09	1.47819487e+10	3.35570722e+10
1001	3.4820635	-0.69165564	2.451119	3556.4392	23.113625	22.30281	0.031540006	0.21501818	10.18203732	18.07755785	36.33416755	346.57606901	535.79421885	866.02119727	1687749.79247214	3411296.00375847	8200522.12996778
1002	5.831914	1.0965056	1.9314305	3422.2834	101.36705	77.77333	0.13011113	0.0040441924	194.03433792	396.58656818	888.85780129	1481.49419542	2270.79287928	3578.55267443	4.49329401e+08	9.81554249e+08	2.46729977e+09
1006	2.233948	1.1341946	0.15233104	4590.705	18.238182	15.74976	0.38501686	-0.0046741394	6.75945995	11.64877444	24.23330093	322.03965847	494.69795411	784.40082128	965185.92906911	1895020.9439909	4586049.91213049
1007	3.4171302	0.7974464	2.0304184	1266.4487	18.649742	9.544231	0.20653579	0.17060547	2675.42667295	5303.36406653	10293.7638472	735.93066359	1126.45048702	1773.47076514	1.2414514e+09	2.64885765e+09	5.97647096e+09
1008	3.9810882	-0.8523531	2.6055071	5367.801	20.1447	19.309584	-0.018523103	0.009523771	484.34981831	1352.90150861	4673.61612829	1684.76997518	2586.62216991	4091.53129904	1.56878208e+09	4.69180313e+09	1.73300011e+10
1009	5.07876	1.2307163	2.6852167	11656.792	140.90717	128.3935	-0.5683262	0.037077952	4.93623227	8.9647863	18.90375686	1247.64069783	1912.66620564	2962.43426143	8289429.64843754	16140927.54561054	35818747.32111596
100	4.763623	0.4508361	0.8471204	10727.328	75.31789	34.688023	0.08104577	-0.02854757	526.91509062	991.25518136	2393.42604144	1410.19270889	2162.01257295	3411.85580239	1.15247679e+09	2.3274493e+09	6.00101434e+09
1010	4.795319	-0.12330361	0.7618594	8492.611	87.48433	38.208996	0.3257856	0.12153387	47.77996871	85.98853309	157.27231405	763.61146902	1173.87714182	1864.01813734	39121002.26243258	74906394.20519647	1.61314537e+08
1011	4.77828	-0.7377966	2.3868773	2540.9246	10.015636	3.290223	0.48594114	-0.15473828	90.09274322	152.4436222	259.50089679	1088.75986003	1676.08964501	2669.84166931	1.44475553e+08	2.61801843e+08	5.17061699e+08
1012	3.2316375	0.42081812	1.0405163	964.855	16.218224	10.818461	-0.19221643	-0.07340118	724.62184317	1458.04750385	3279.48745153	3386.37616277	5199.08110553	8220.49311279	5.8858485e+09	1.30964341e+10	3.40775305e+10
1013	5.525368	-1.3336177	0.7234846	5155.301	34.534485	12.071451	-0.34785485	-0.5273396	5.59901652	10.44403901	23.65330419	904.93843849	1394.90097982	2228.04313357	6471897.75691532	13356059.58136163	34664625.00579917
1016	4.0824137	-0.6672665	0.4128694	5064.606	38.263805	17.971897	-0.022054557	0.33490446	137.50833252	235.44943938	430.66447966	432.8300129	664.34543924	1052.08266494	31896318.578144	58533532.97222304	1.21943965e+08
1017	4.146235	1.13918	0.9734794	6518.146	93.915146	81.70399	-0.6464806	-0.09361711	8944.84885162	14862.68903264	24713.65415962	1093.54397846	1657.09336042	2560.04792461	7.95217434e+09	1.28309711e+10	2.10413609e+10
1018	0.9095077	-0.32704473	2.050811	3777.215	90.99149	69.01004	-0.2949572	-0.524069	657.95421687	1556.36843823	3486.57070905	599.98701197	916.42113885	1436.98886704	2.0427615e+08	5.01679348e+08	1.30189278e+09
1019	1.0775801	0.4101378	0.66082674	4790.524	28.003613	19.005928	-0.376869	-0.08944218	223.29783223	607.03139986	2388.38036291	1696.12257878	2617.71825829	4199.98780874	5.60301781e+08	1.73653285e+09	7.81327205e+09
101	0.42200473	-0.33899638	2.3250296	2026.9683	16.872074	9.448188	0.22172274	-0.10874816	459.60719405	858.5390484	1715.47077046	2964.39338208	4545.00834821	7165.76489445	3.54303634e+09	7.00278742e+09	1.53134202e+10
1020	4.666694	0.03548205	2.3538344	3769.0647	20.967113	16.696692	-0.64770097	-0.22048359	1058.68719524	1894.61476192	3668.33210016	3391.45742714	5178.59918184	8087.78424955	8.74717037e+09	1.65580128e+10	3.47046289e+10
1021	4.2989416	-0.1260116	0.6877193	13785.876	102.43151	69.1092	-0.45153388	-0.03467812	787.94472708	1552.96407227	4215.58806957	2876.27518511	4410.77660877	6959.33671116	5.74443034e+09	1.24102207e+10	3.60614024e+10
1022	5.9324174	-0.6096674	0.32161808	5143.4805	38.05398	24.150246	-0.2807894	0.63493663	1.68377849	3.0309836	6.29052695	786.00527549	1218.6980607	1886.17069553	717419.47147351	1383827.12122872	3114207.98738659
